observation number,publication number,Title ,Authors,Data_extracted_by,Extraction_date,Continent, Country,year_of_experiment,Site,lat_decimals,long_decimals,eco_type,Annual_precip ,precipitation_levels,Annual_temp,Regional_climate ,climatic_region,SOM,Soil C %,Soil N%,Soil C:N ratio ,Soil pH,litterbags_size_cm2,Fauna_available, Top_mesh_size,Fauna_group,Bottom_mesh_size,Burial_location  ,Time_Days,Duration_period,spc_abbr, Litter_type,Drying_method,Oven_temp_C,Litter_size,sp_div_in_mixture,species_richness,propotions,Mixture_mass_ratio,n_expected,n_observed,Lit_Car,Lit_Nit,Lit_Pho,Lit_Lig,Lit_Car_Nit_ratio,Lit_Lig_Nit_ratio,expected_decay_k,observed_decay_k,initial_weight_g,Final_weight_g,m_expected,sd_expected,m_observed,sd_observed,obs_per_day,exp_per_day,sd_obsv_per_day,sd_exp_per_day
265,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest oak stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,19.7,0.6,14.6,4,200,absent,1.2,mesofauna,,Surface ,122,short,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,9.2805,4.6785,20.31248275,7.195,11.95,0.05897541,0.038348361,0.09795082,0.16649576
266,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest oak stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,19.7,0.6,14.6,4,200,absent,1.2,mesofauna,,Surface ,183,medium,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,8.8414,10.481,20.43407155,11.586,11.78,0.063311475,0.057273224,0.064371585,0.111661593
267,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest oak stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,19.7,0.6,14.6,4,200,absent,1.2,mesofauna,,Surface ,243,medium,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,8.3047,16.71,20.18695583,16.953,9.87,0.069765432,0.068765432,0.040617284,0.083073892
268,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest oak stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,19.7,0.6,14.6,4,200,absent,1.2,mesofauna,,Surface ,304,medium,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,8.1872,19.087,19.48582904,18.128,14.03,0.059631579,0.062786184,0.046151316,0.064098122
269,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest oak stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,19.7,0.6,14.6,4,200,absent,1.2,mesofauna,,Surface ,365,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,8.6131,18.4245,19.88222299,13.869,7.97,0.03799726,0.050478082,0.021835616,0.054471844
270,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest oak stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,19.7,0.6,14.6,4,200,absent,1.2,mesofauna,,Surface ,426,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,8.1787,17.7575,20.55719746,18.213,14.2,0.042753521,0.041684272,0.033333333,0.048256332
271,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest oak stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,19.7,0.6,14.6,4,200,absent,1.2,mesofauna,,Surface ,487,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,7.812,20.137,17.66160535,21.88,10.57,0.044928131,0.041349076,0.021704312,0.03626613
272,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest oak stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,19.7,0.6,14.6,4,200,absent,1.2,mesofauna,,Surface ,548,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,6.4173,37.2305,19.72689554,35.827,14.2,0.065377737,0.067938869,0.025912409,0.035997985
273,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest oak stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,19.7,0.6,14.6,4,200,absent,1.2,mesofauna,,Surface ,608,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,6.5121,35.6225,20.39770491,34.879,14.72,0.057366776,0.058589638,0.024210526,0.033548857
274,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest oak stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,19.7,0.6,14.6,4,200,absent,1.2,mesofauna,,Surface ,669,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,5.9572,42.6755,20.35282358,40.428,14.72,0.060430493,0.063789985,0.02200299,0.030422756
275,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest oak stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,19.7,0.6,14.6,4,200,absent,1.2,mesofauna,,Surface ,730,very  long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,5.0923,53.1305,20.94951911,49.077,13.6,0.067228767,0.072781507,0.018630137,0.028697971
276,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest mixed stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,16.2,0.43,14,4,200,absent,1.2,mesofauna,,Surface ,61,short,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,9.9008,0.97,18.48883819,0.992,18.53,0.016262295,0.015901639,0.303770492,0.303095708
277,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest mixed stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,16.2,0.43,14,4,200,absent,1.2,mesofauna,,Surface ,122,short,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,9.2066,6.65,18.94236066,7.934,19.57,0.065032787,0.054508197,0.160409836,0.155265251
278,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest mixed stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,16.2,0.43,14,4,200,absent,1.2,mesofauna,,Surface ,183,medium,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,8.8095,11.2515,19.43224845,11.905,19.4,0.065054645,0.061483607,0.106010929,0.10618715
279,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest mixed stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,16.2,0.43,14,4,200,absent,1.2,mesofauna,,Surface ,243,medium,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,8.0803,20.519,20.03361874,19.197,19.75,0.079,0.084440329,0.08127572,0.082442875
280,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest mixed stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,16.2,0.43,14,4,200,absent,1.2,mesofauna,,Surface ,304,medium,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,7.5722,23.2585,19.16232632,24.278,17.15,0.079861842,0.076508224,0.056414474,0.063033968
281,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest mixed stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,16.2,0.43,14,4,200,absent,1.2,mesofauna,,Surface ,365,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,7.5501,20.541,22.21286452,24.499,19.92,0.067120548,0.056276712,0.054575342,0.060857163
282,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest mixed stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,16.2,0.43,14,4,200,absent,1.2,mesofauna,,Surface ,426,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,7.4254,25.301,19.20705074,25.746,17.49,0.06043662,0.059392019,0.041056338,0.045086974
283,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest mixed stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,16.2,0.43,14,4,200,absent,1.2,mesofauna,,Surface ,487,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,7.0678,26.367,19.15033154,29.322,16.97,0.060209446,0.054141684,0.034845996,0.039323063
284,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest mixed stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,16.2,0.43,14,4,200,absent,1.2,mesofauna,,Surface ,548,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,4.9721,49.3175,18.91139835,50.279,15.93,0.09175,0.089995438,0.029069343,0.034509851
285,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest mixed stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,16.2,0.43,14,4,200,absent,1.2,mesofauna,,Surface ,608,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,4.8387,52.849,15.57904987,51.613,20.72,0.084889803,0.086922697,0.034078947,0.025623437
286,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest mixed stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,16.2,0.43,14,4,200,absent,1.2,mesofauna,,Surface ,669,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,4.0571,52.938,14.67023517,59.429,16.45,0.088832586,0.079130045,0.024588939,0.021928603
287,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Forest mixed stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,16.2,0.43,14,4,200,absent,1.2,mesofauna,,Surface ,730,very  long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,4.3553,56.276,19.28934435,56.447,20.26,0.077324658,0.077090411,0.027753425,0.026423759
288,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Korean pine stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,13.3,0.3,15,4.3,200,absent,1.2,mesofauna,,Surface ,61,short,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,9.7945,1.8885,16.54592686,2.055,14.24,0.033688525,0.030959016,0.233442623,0.271244703
289,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Korean pine stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,13.3,0.3,15,4.3,200,absent,1.2,mesofauna,,Surface ,122,short,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,9.4477,7.108,17.99529822,5.523,18.29,0.045270492,0.058262295,0.149918033,0.147502444
290,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Korean pine stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,13.3,0.3,15,4.3,200,absent,1.2,mesofauna,,Surface ,183,medium,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,9.0858,11.233,19.42617012,9.142,20.65,0.049956284,0.061382514,0.11284153,0.106153935
291,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Korean pine stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,13.3,0.3,15,4.3,200,absent,1.2,mesofauna,,Surface ,243,medium,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,7.7104,25.161,18.17801194,22.896,18.86,0.094222222,0.10354321,0.077613169,0.074806633
292,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Korean pine stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,13.3,0.3,15,4.3,200,absent,1.2,mesofauna,,Surface ,304,medium,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,7.4842,25.791,17.54461875,25.158,20.56,0.082756579,0.084838816,0.067631579,0.057712562
293,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Korean pine stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,13.3,0.3,15,4.3,200,absent,1.2,mesofauna,,Surface ,365,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,7.4661,26.1085,19.29777052,25.339,20.39,0.069421918,0.071530137,0.055863014,0.052870604
294,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Korean pine stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,13.3,0.3,15,4.3,200,absent,1.2,mesofauna,,Surface ,426,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,7.0771,27.827,17.72821649,29.229,20.58,0.068612676,0.065321596,0.048309859,0.041615532
295,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Korean pine stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,13.3,0.3,15,4.3,200,absent,1.2,mesofauna,,Surface ,487,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,7.1938,29.018,15.08456662,28.062,20.92,0.057622177,0.059585216,0.042956879,0.030974469
296,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Korean pine stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,13.3,0.3,15,4.3,200,absent,1.2,mesofauna,,Surface ,548,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,4.7715,54.281,18.01670109,52.285,19.17,0.095410584,0.09905292,0.034981752,0.032877192
297,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Korean pine stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,13.3,0.3,15,4.3,200,absent,1.2,mesofauna,,Surface ,608,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,4.4892,56.735,18.05509036,55.108,16.89,0.090638158,0.093314145,0.027779605,0.029695872
298,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Korean pine stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,13.3,0.3,15,4.3,200,absent,1.2,mesofauna,,Surface ,669,long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,4.6311,54.813,18.27396726,53.689,20.26,0.080252616,0.081932735,0.030284006,0.027315347
299,23,"Seasonal Pattern of Decomposition and N, P, and C Dynamics in Leaf litter in a Mongolian Oak Forest and a Korean Pine Plantation",Sohng et al 2014,Denis Mburu Njoroge,16/06/2020,Asia,Korea,2009,Seoul National University Korean pine stand,38.1926,127.1645,Plantation,1371,medium,10.9,continental monsoon climate,Sub-tropics,N/A,13.3,0.3,15,4.3,200,absent,1.2,mesofauna,,Surface ,730,very  long,"Qm,Pk",Deciduous,oven dried,80,Whole leaf,2,two,equal,01:01,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,3.8215,61.477,18.8485908,61.785,14.84,0.084636986,0.084215068,0.020328767,0.025819987
300,24,Non-Additive Effects on Decomposition from Mixing Litter of the Invasive Mikania micrantha H.B.K. with Native Plants,Chen et al 2013,Denis Mburu Njoroge,17/06/2020,Asia,China,2006,Dinghushan Forest Experimental Station,23.1,112.1,Forest,1927,medium,21,subtropical monsoon,Sub-tropics,N/A,N/A,N/A,N/A,N/A,300,absent,1,mesofauna,,Buried,180,short,"Fv,Mm",evergreen,Air dried,N/A,Whole leaf,2,two,equal,01:01,3,3,38.685,1.625,N/A,N/A,24.37,N/A,N/A,N/A,10,1.367,78.115,3.89542886,86.33,3.79,0.479611111,0.433972222,0.021055556,0.021641271
301,24,Non-Additive Effects on Decomposition from Mixing Litter of the Invasive Mikania micrantha H.B.K. with Native Plants,Chen et al 2013,Denis Mburu Njoroge,17/06/2020,Asia,China,2006,Dinghushan Forest Experimental Station,23.1,112.1,Forest,1927,medium,21,subtropical monsoon,Sub-tropics,N/A,N/A,N/A,N/A,N/A,300,absent,1,mesofauna,,Buried,180,short,"Lg,Mm",evergreen,Air dried,N/A,Whole leaf,2,two,equal,01:01,3,3,42.34,1.675,N/A,N/A,25.635,N/A,N/A,N/A,10,1.35,71.8,4.453829981,86.5,9,0.480555556,0.398888889,0.05,0.0247435
302,24,Non-Additive Effects on Decomposition from Mixing Litter of the Invasive Mikania micrantha H.B.K. with Native Plants,Chen et al 2013,Denis Mburu Njoroge,17/06/2020,Asia,China,2006,Dinghushan Forest Experimental Station,23.1,112.1,Forest,1927,medium,21,subtropical monsoon,Sub-tropics,N/A,N/A,N/A,N/A,N/A,300,absent,1,mesofauna,,Buried,180,short,"Cc,Mm",evergreen,Air dried,N/A,Whole leaf,2,two,equal,01:01,3,3,42.775,1.475,N/A,N/A,31.34,N/A,N/A,N/A,10,2.567,73.56,4.00994283,74.33,15.31,0.412944444,0.408666667,0.085055556,0.02227746
303,24,Non-Additive Effects on Decomposition from Mixing Litter of the Invasive Mikania micrantha H.B.K. with Native Plants,Chen et al 2013,Denis Mburu Njoroge,17/06/2020,Asia,China,2006,Dinghushan Forest Experimental Station,23.1,112.1,Forest,1927,medium,21,subtropical monsoon,Sub-tropics,N/A,N/A,N/A,N/A,N/A,300,absent,1,mesofauna,,Buried,180,short,"Ac,Mm",evergreen,Air dried,N/A,Whole leaf,2,two,equal,01:01,3,3,42.985,1.465,N/A,N/A,31.915,N/A,N/A,N/A,10,0.625,82.06,3.894567177,93.75,4.57,0.520833333,0.455888889,0.025388889,0.021636484
304,24,Non-Additive Effects on Decomposition from Mixing Litter of the Invasive Mikania micrantha H.B.K. with Native Plants,Chen et al 2013,Denis Mburu Njoroge,17/06/2020,Asia,China,2006,Dinghushan Forest Experimental Station,23.1,112.1,Forest,1927,medium,21,subtropical monsoon,Sub-tropics,N/A,N/A,N/A,N/A,N/A,300,absent,1,mesofauna,,Buried,180,short,"Pm,Mm",evergreen,Air dried,N/A,Whole leaf,2,two,equal,01:01,3,3,42.805,1.335,N/A,N/A,38.24,N/A,N/A,N/A,10,2.675,69.653,3.066152883,73.25,13.4,0.406944444,0.386961111,0.074444444,0.017034183
305,24,Non-Additive Effects on Decomposition from Mixing Litter of the Invasive Mikania micrantha H.B.K. with Native Plants,Chen et al 2013,Denis Mburu Njoroge,17/06/2020,Asia,China,2006,Dinghushan Forest Experimental Station,23.1,112.1,Forest,1927,medium,21,subtropical monsoon,Sub-tropics,N/A,N/A,N/A,N/A,N/A,300,absent,1,mesofauna,,Buried,180,short,"Ss,Mm",evergreen,Air dried,N/A,Whole leaf,2,two,equal,01:01,3,3,42.935,1.435,N/A,N/A,33.145,N/A,N/A,N/A,10,2.075,65.151,3.541613192,79.25,3.1,0.440277778,0.36195,0.017222222,0.019675629
